feature,place,category,pred,,,,,,,
company,Gravy_Restaurant,price,0.7207197,,,,,,,
portions,Gravy_Restaurant,food,-0.005582131,,,,,,,
mains,Gravy_Restaurant,ambience,-0.005582131,,,,,,,
place,Gravy_Restaurant,ambience,0.6952028,,,,,,,
butter,Gravy_Restaurant,food,0.011987872,,,,,,,
pairs,Gravy_Restaurant,price,0.17018634,,,,,,,
food,Gravy_Restaurant,food,0.6787287,,,,,,,
restaurant,Gravy_Restaurant,ambience,0.21927132,,,,,,,
selection,Gravy_Restaurant,food,0.7961199,,,,,,,
food,Gravy_Restaurant,food,0.7961199,,,,,,,
place,Gravy_Restaurant,ambience,0.23931491,,,,,,,
Tandoori,Gravy_Restaurant,food,-0.63399947,,,,,,,
chicken,Gravy_Restaurant,food,-0.63399947,,,,,,,
pint,Gravy_Restaurant,food,-0.067371495,,,,,,,
beer,Gravy_Restaurant,price,0.03181719,,,,,,,
Erdinger,Gravy_Restaurant,Non-Categorised,-7.70E-05,,,,,,,
food,Gravy_Restaurant,food,0.7963691,,,,,,,
place,Gravy_Restaurant,ambience,0.7527256,,,,,,,
food,Gravy_Restaurant,food,0.5779964,,,,,,,
service,Gravy_Restaurant,service,0.69852555,,,,,,,
staff,Gravy_Restaurant,service,-0.001917012,,,,,,,
Food,Gravy_Restaurant,food,0.7908911,,,,,,,
aloo,Gravy_Restaurant,food,0.2691076,,,,,,,
paratha,Gravy_Restaurant,food,0.2691076,,,,,,,
masala,Gravy_Restaurant,food,0.2691076,,,,,,,
butter,Gravy_Restaurant,food,0.2691076,,,,,,,
staff,Gravy_Restaurant,service,0.2691076,,,,,,,
place,Gravy_Restaurant,ambience,0.2691076,,,,,,,
🏻,Gravy_Restaurant,food,0.2691076,,,,,,,
gray,Gravy_Restaurant,ambience,0.3435678,,,,,,,
bread,Gravy_Restaurant,food,0.3435678,,,,,,,
food,Gravy_Restaurant,food,-0.002600886,,,,,,,
food,Gravy_Restaurant,food,0.5927135,,,,,,,
service,Gravy_Restaurant,service,0.5927135,,,,,,,
waiters,Gravy_Restaurant,service,0.5927135,,,,,,,
Portions,Gravy_Restaurant,food,0.1844047,,,,,,,
need,Gravy_Restaurant,price,0.1844047,,,,,,,
Food,Gravy_Restaurant,food,0.79143274,,,,,,,
bottle,Gravy_Restaurant,price,0.014792509,,,,,,,
grey,Gravy_Restaurant,ambience,0.014792509,,,,,,,
goose,Gravy_Restaurant,food,0.014792509,,,,,,,
menu,Gravy_Restaurant,food,0.014792509,,,,,,,
price,Gravy_Restaurant,price,0.014792509,,,,,,,
restaurant,Gravy_Restaurant,ambience,-0.10515896,,,,,,,
time,Gravy_Restaurant,price,-0.10515896,,,,,,,
staff,Gravy_Restaurant,service,-0.001917012,,,,,,,
management,Gravy_Restaurant,service,0.54528,,,,,,,
bills,Gravy_Restaurant,price,-0.004220001,,,,,,,
times,Gravy_Restaurant,price,-0.004220001,,,,,,,
Food,Gravy_Restaurant,food,0.79143274,,,,,,,
service,Gravy_Restaurant,service,0.7888032,,,,,,,
location,Gravy_Restaurant,price,0.78855526,,,,,,,
principles,Gravy_Restaurant,price,-0.001678616,,,,,,,
ethics,Gravy_Restaurant,service,-7.70E-05,,,,,,,
prices,Gravy_Restaurant,price,-0.002526105,,,,,,,
menu,Gravy_Restaurant,food,-0.002526105,,,,,,,
place,Gravy_Restaurant,ambience,-0.003711335,,,,,,,
manager,Gravy_Restaurant,price,0.1232508,,,,,,,
goose,Gravy_Restaurant,Non-Categorised,-7.70E-05,,,,,,,
food,Gravy_Restaurant,food,0.4301676,,,,,,,
comfort,Gravy_Restaurant,price,0.6036046,,,,,,,
home,Gravy_Restaurant,price,0.6036046,,,,,,,
Customer,Gravy_Restaurant,food,0.98542464,,,,,,,
service,Gravy_Restaurant,service,0.98542464,,,,,,,
recommendation,Gravy_Restaurant,price,0.89653075,,,,,,,
delight,Gravy_Restaurant,price,0.002748318,,,,,,,
taste,Gravy_Restaurant,price,-0.00294438,,,,,,,
Restaurant,Gravy_Restaurant,Non-Categorised,0.068083405,,,,,,,
beers,Gravy_Restaurant,price,0.65120053,,,,,,,
tap,Gravy_Restaurant,price,0.068083405,,,,,,,
