feature,place,category,pred,clause_polarity
pint,Gravy_Restaurant,food,-0.067371495,0
beer,Gravy_Restaurant,price,0.03181719,0
Erdinger,Gravy_Restaurant,Non-Categorised,-7.70E-05,0
food,Gravy_Restaurant,food,0.7963691,0.78
place,Gravy_Restaurant,ambience,0.7527256,0.8
food,Gravy_Restaurant,food,0.5779964,0.54375
service,Gravy_Restaurant,service,0.69852555,0.7
staff,Gravy_Restaurant,service,-0.001917012,0
Food,Gravy_Restaurant,food,0.7908911,0.8
aloo,Gravy_Restaurant,food,0.2691076,0.291666667
paratha,Gravy_Restaurant,food,0.2691076,0.291666667
masala,Gravy_Restaurant,food,0.2691076,0.291666667
butter,Gravy_Restaurant,food,0.2691076,0.291666667
staff,Gravy_Restaurant,service,0.2691076,0.291666667
place,Gravy_Restaurant,ambience,0.2691076,0.291666667
🏻,Gravy_Restaurant,food,0.2691076,0.291666667
gray,Gravy_Restaurant,ambience,0.3435678,0.35
bread,Gravy_Restaurant,food,0.3435678,0.35
food,Gravy_Restaurant,food,-0.002600886,0
food,Gravy_Restaurant,food,0.5927135,0.6
service,Gravy_Restaurant,service,0.5927135,0.6
waiters,Gravy_Restaurant,service,0.5927135,0.6
Portions,Gravy_Restaurant,food,0.1844047,0.207142857
need,Gravy_Restaurant,price,0.1844047,0.207142857
Food,Gravy_Restaurant,food,0.79143274,0.8
bottle,Gravy_Restaurant,price,0.014792509,0.025
grey,Gravy_Restaurant,ambience,0.014792509,0.025
goose,Gravy_Restaurant,food,0.014792509,0.025
menu,Gravy_Restaurant,food,0.014792509,0.025
price,Gravy_Restaurant,price,0.014792509,0.025
restaurant,Gravy_Restaurant,ambience,-0.10515896,0.1
time,Gravy_Restaurant,price,-0.10515896,0.1
staff,Gravy_Restaurant,service,-0.001917012,-0.5
management,Gravy_Restaurant,service,0.54528,0.2
bills,Gravy_Restaurant,price,-0.004220001,0
times,Gravy_Restaurant,price,-0.004220001,0
Food,Gravy_Restaurant,food,0.79143274,0.8
service,Gravy_Restaurant,service,0.7888032,0.8
location,Gravy_Restaurant,price,0.78855526,0.8
principles,Gravy_Restaurant,price,-0.001678616,0
ethics,Gravy_Restaurant,service,-7.70E-05,0
prices,Gravy_Restaurant,price,-0.002526105,-0.5
menu,Gravy_Restaurant,food,-0.002526105,-0.5
place,Gravy_Restaurant,ambience,-0.003711335,0
manager,Gravy_Restaurant,price,0.1232508,0.2
goose,Gravy_Restaurant,Non-Categorised,-7.70E-05,-0.05
food,Gravy_Restaurant,food,0.4301676,0.45
comfort,Gravy_Restaurant,price,0.6036046,0.6
home,Gravy_Restaurant,price,0.6036046,0.6
Customer,Gravy_Restaurant,food,0.98542464,1
service,Gravy_Restaurant,service,0.98542464,1
recommendation,Gravy_Restaurant,price,0.89653075,0.91
delight,Gravy_Restaurant,price,0.002748318,0
taste,Gravy_Restaurant,price,-0.00294438,0
Restaurant,Gravy_Restaurant,Non-Categorised,0.068083405,0
beers,Gravy_Restaurant,price,0.65120053,0.5
tap,Gravy_Restaurant,price,0.068083405,0
bonus,Gravy_Restaurant,price,0.65120053,0.5
gravy,Gravy_Restaurant,food,0.04820296,0
food,Gravy_Restaurant,food,0.6751481,0.8
Vegetarian,Gravy_Restaurant,food,0.6751481,0.8
place,Gravy_Restaurant,ambience,0.6751481,0.8
veg,Gravy_Restaurant,food,0.6751481,0.8
variety,Gravy_Restaurant,price,0.6751481,0.8
starters,Gravy_Restaurant,service,0.6751481,0.8
dal,Gravy_Restaurant,food,0.61767924,0.5
makhani,Gravy_Restaurant,food,0.61767924,0.5
superb,Gravy_Restaurant,price,0.61767924,0.5
dish,Gravy_Restaurant,food,0.07493648,0.2
masala,Gravy_Restaurant,food,0.07493648,0.2
list,Gravy_Restaurant,food,-0.004593961,0.1
reataurant,Gravy_Restaurant,food,-0.004593961,0.1
starter,Gravy_Restaurant,price,0.1756385,0.166666667
course,Gravy_Restaurant,price,0.1756385,0.166666667
quality,Gravy_Restaurant,price,0.90800816,0.91
food,Gravy_Restaurant,food,0.90800816,0.91
needs,Gravy_Restaurant,Non-Categorised,0.90800816,0.91
chicken,Gravy_Restaurant,food,-0.56782144,-0.6
veg,Gravy_Restaurant,food,-0.16594979,-0.15
curry,Gravy_Restaurant,food,-0.16594979,-0.15
taste,Gravy_Restaurant,price,-0.16594979,-0.15
improvement,Gravy_Restaurant,price,-7.70E-05,0
tandoori,Gravy_Restaurant,food,-7.70E-05,0
aloo,Gravy_Restaurant,food,-7.70E-05,0
RUn,Gravy_Restaurant,food,0.42384616,0.37
group,Gravy_Restaurant,price,0.42384616,0.37
people,Gravy_Restaurant,service,0.42384616,0.37
food,Gravy_Restaurant,food,-2.57E-05,0
north,Gravy_Restaurant,price,-2.57E-05,0
restaurant,Gravy_Restaurant,ambience,-0.003112696,0
dinner,Gravy_Restaurant,price,-0.003112696,0
decision,Gravy_Restaurant,price,0.99068123,1
try,Gravy_Restaurant,price,0.12961993,0
biryani,Gravy_Restaurant,food,0.12961993,0
day,Gravy_Restaurant,price,0.013913929,0
review,Gravy_Restaurant,price,0.013913929,0
food,Gravy_Restaurant,food,0.9915441,1
service,Gravy_Restaurant,service,0.6017098,0.6
review,Gravy_Restaurant,price,0.10711798,0
restaurant,Gravy_Restaurant,ambience,0.10711798,0
food,Gravy_Restaurant,food,0.74099565,0.7
experience,Gravy_Restaurant,price,0.51732695,0.55
review,Gravy_Restaurant,price,-0.00229422,0
restaruant,Gravy_Restaurant,food,0.7085293,0.7
dal,Gravy_Restaurant,food,-0.002188221,0
makhani,Gravy_Restaurant,food,-0.002188221,0
chef,Gravy_Restaurant,food,-0.001442596,0
signature,Gravy_Restaurant,price,-0.001442596,0
dish,Gravy_Restaurant,food,-0.001442596,0
oil,Gravy_Restaurant,price,0.19283524,0.1
butter(?)/ghee,Gravy_Restaurant,Non-Categorised,0.19283524,0.1
butter,Gravy_Restaurant,food,-0.41628662,-0.6
chicken,Gravy_Restaurant,food,-0.5642339,-0.6
gravy,Gravy_Restaurant,food,-0.5642339,-0.6
service,Gravy_Restaurant,service,0.7172234,0.7
dish,Gravy_Restaurant,food,0.32051766,0.35
dal,Gravy_Restaurant,food,0.00710883,0
hours,Gravy_Restaurant,price,0.00710883,0
ghee,Gravy_Restaurant,food,-0.002050072,0
time,Gravy_Restaurant,price,0.011445023,0
review,Gravy_Restaurant,price,-0.002294228,0
job,Gravy_Restaurant,price,0.32051766,0.35
preference,Gravy_Restaurant,price,0.018703356,0
staff,Gravy_Restaurant,service,0.6256028,0.558333333
dishes,Gravy_Restaurant,food,0.11107392,0.277777778
papadum,Gravy_Restaurant,food,0.11107392,0.277777778
papad,Gravy_Restaurant,food,-0.008864477,0
accompaniment,Gravy_Restaurant,food,-0.008864477,0
biryani,Gravy_Restaurant,food,-0.008864477,0
person,Gravy_Restaurant,price,0.002936654,0
food,Gravy_Restaurant,food,-0.002970189,0
onions,Gravy_Restaurant,food,-9.92E-05,0
tomatoes,Gravy_Restaurant,food,-7.70E-05,0
cream,Gravy_Restaurant,food,-0.001667202,0
lot,Gravy_Restaurant,price,0.26261112,0.25
love,Gravy_Restaurant,price,0.26261112,0.25
oil,Gravy_Restaurant,price,-0.083612956,0
side,Gravy_Restaurant,price,-0.17570809,-0.1875
dishes,Gravy_Restaurant,food,-0.001545467,0
staff,Gravy_Restaurant,service,0.47493705,0.4875
cleanliness,Gravy_Restaurant,ambience,-7.70E-05,0
effort,Gravy_Restaurant,price,0.7103138,0.6
quality,Gravy_Restaurant,price,0.7103138,0.6
food,Gravy_Restaurant,food,0.9478168,0.5
cleanliness,Gravy_Restaurant,ambience,-0.002429724,0
review,Gravy_Restaurant,price,0.27828103,0.329090909
portions,Gravy_Restaurant,food,0.9478168,0.5
service,Gravy_Restaurant,service,-0.002765022,0
value,Gravy_Restaurant,price,0.9267383,1
money,Gravy_Restaurant,price,0.9267383,1
customers,Gravy_Restaurant,price,0.9267383,1
food,Gravy_Restaurant,food,0.59522635,0.6
service,Gravy_Restaurant,service,-0.002765022,0
review,Gravy_Restaurant,price,0.39314815,0.4
review,Gravy_Restaurant,price,0.000242747,0
65,Gravy_Restaurant,food,-0.005433612,0
food,Gravy_Restaurant,food,0.50810915,0.5
paneer,Gravy_Restaurant,food,-0.001657479,0
tikka,Gravy_Restaurant,food,-0.001657479,0
flavour,Gravy_Restaurant,food,-0.001657479,0
review,Gravy_Restaurant,price,0.20557174,0.2
dinner,Gravy_Restaurant,price,-0.025583647,0
place,Gravy_Restaurant,ambience,0.69135517,0.7
evening,Gravy_Restaurant,price,-0.025583647,0
vibe,Gravy_Restaurant,ambience,0.69135517,0.7
wife,Gravy_Restaurant,price,-0.002514884,0
ambience,Gravy_Restaurant,ambience,-0.001803875,0
food,Gravy_Restaurant,food,0.53084403,0.55
desh,Gravy_Restaurant,food,0.53084403,0.55
videsh,Gravy_Restaurant,food,0.53084403,0.55
liking,Gravy_Restaurant,price,-0.3957248,-0.5
colour,Gravy_Restaurant,ambience,-0.002429724,0
chef,Gravy_Restaurant,food,-0.002763182,0
team,Gravy_Restaurant,service,-0.002763182,0
pricing,Gravy_Restaurant,price,0.6581089,0.65
feedback,Gravy_Restaurant,service,0.1962327,0.2
preference,Gravy_Restaurant,price,-0.004138075,0
colouring,Gravy_Restaurant,food,-0.001853146,-0.6
portion,Gravy_Restaurant,price,0.6581089,0.65
